seed method state_type dim total_cells perc_genes perc_cells flag ct_in_state adj.rsq max.rsq max.rsq_sub total_cells_can_occupy_state total_cells_occupy_state total_genes total_genes_in_state
7 PCA within_one_ct 10 20000 0.15 0.5 NA EX 0.385962546753984 0.182306363983221 0.0223965271285888 2001 1000 2527 379
9 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.596142544865646 0.595353567312235 0.595353567312235 20004 10002 2527 758
4 PCA within_one_ct 10 20000 0.7 0.3 NA INH 0.60265313248497 0.33096208784237 0.745204149685933 1939 581 2527 1768
3 PCA across_cts 10 20000 0.3 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.602372817298325 0.601898818712182 0.601898818712182 20004 14002 2527 758
7 PCA within_one_ct 10 20000 0.5 0.7 NA EX 0.798264399611012 0.25441996572791 0.795502263711807 2001 1400 2527 1263
2 PCA across_cts 10 20000 0.15 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.484480710674223 0.296347609149022 0.296347609149022 20004 10002 2527 379
10 PCA across_cts 10 20000 0.15 0.7 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.00455246596712333 0.00283053971871106 0.00283053971871106 20004 14002 2527 379
8 PCA across_cts 10 20000 0.3 0.5 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.642695345490749 0.640622820229038 0.640622820229038 20004 10002 2527 758
6 PCA within_one_ct 10 20000 0.3 0.7 NA ODC 0.377313675016244 0.258143296299701 0.256453682864094 12220 8554 2527 758
8 PCA across_cts 10 20000 0.3 0.3 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.601950165134555 0.600737242830981 0.600737242830981 20004 6001 2527 758
3 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.454096496014426 0.451394390743313 0.451394390743313 20004 3000 2527 758
5 PCA within_one_ct 10 20000 0.3 0.7 NA EX 0.56285927582082 0.250439516160455 0.179707024561462 2001 1400 2527 758
2 PCA across_cts 10 20000 0.3 0.15 NA ASC_EX_INH_MG_ODC_OPC_PER.END 0.0344174467086952 0.027764685934583 0.027764685934583 20004 3000 2527 758
