method data_param num_cells seed dim vargenes adj.rsq max.rsq
scaled_NMF all_cell_types 5000 3 50 3000 0.0243189500664063 0.00882373496970768
NMF int_ex 100 4 50 3000 0.340480652089797 0.066942295590434
NMF int_ex 100 5 50 3000 0.302453890758121 0.0503509621296285
NMF int_ex 500 1 50 3000 0.219449258158969 0.0888579715553217
NMF int_ex 500 4 50 3000 0.246727348161977 0.0604216475996648
NMF int_ex 500 3 50 3000 0.316033897173195 0.12639588283989
NMF int_ex 500 5 50 3000 0.2670050645166 0.12076598774153
NMF int_ex 500 2 50 3000 0.208838647604087 0.0719757643857385
scaled_NMF all_cell_types 5000 4 50 3000 0.015691042647498 0.00893212806793009
scaled_NMF all_cell_types 5000 5 50 3000 0.0320132427396417 0.00878120525535764
scaled_NMF int_ex 10000 1 50 3000 0.215267746521542 0.167237136470562
scaled_NMF int_ex all 1 50 3000 0.226658812364807 0.189805045467756
NMF int_ex 5000 2 50 3000 0.332819498763583 0.0772857303371969
NMF int_ex 5000 1 50 3000 0.305481852066794 0.177094946892759
NMF int_ex 5000 3 50 3000 0.343845174129077 0.215764799087853
scaled_NMF int_ex all 3 50 3000 0.226658812364807 0.189805045467756
scaled_NMF int_ex all 5 50 3000 0.226658812364807 0.189805045467756
NMF int_ex 5000 4 50 3000 0.339530289352634 0.19211776825575
scaled_NMF int_ex all 2 50 3000 0.226658812364807 0.189805045467756
NMF int_ex 5000 5 50 3000 0.359028436482737 0.198445062645262
scaled_NMF int_ex all 4 50 3000 0.226658812364807 0.189805045467756
NMF int_ex 10000 2 50 3000 0.356978020743467 0.205058319313316
NMF int_ex 10000 4 50 3000 0.346400041081116 0.144850314564994
NMF int_ex 10000 3 50 3000 0.349948973143557 0.163234534208106
NMF int_ex 10000 1 50 3000 0.346278257629742 0.137816710474795
NMF int_ex 10000 5 50 3000 0.357754169300214 0.179644779588128
NMF int_ex all 1 50 3000 0.350717278332148 0.146283192712955
NMF all_cell_types 10000 1 50 3000 0.123435888269224 0.0243211200895688
NMF all_cell_types 10000 2 50 3000 0.128509957164589 0.0295892294661304
NMF all_cell_types 10000 3 50 3000 0.0982117101340049 0.0108153120287154
NMF all_cell_types 10000 4 50 3000 0.109087728274648 0.0117907194640359
NMF all_cell_types 10000 5 50 3000 0.109392890727832 0.0100981534196077
NMF all_cell_types 15000 1 50 3000 0.0780287185048938 0.0114072954862405
NMF all_cell_types 15000 3 50 3000 0.131668747257117 0.0147109387474161
NMF all_cell_types 15000 2 50 3000 0.111514171631454 0.015578626934811
NMF int_ex all 5 50 3000 0.350717278332148 0.146283192712955
NMF int_ex all 2 50 3000 0.350717278332148 0.146283192712955
NMF int_ex all 3 50 3000 0.350717278332148 0.146283192712955
NMF all_cell_types 15000 4 50 3000 0.153179768173266 0.0255198284553794
NMF int_ex all 4 50 3000 0.350717278332148 0.146283192712955
NMF all_cell_types 15000 5 50 3000 0.124610469008584 0.0130094126411447
NMF all_cell_types 25000 3 50 3000 0.112549428141811 0.0120649174329951
NMF all_cell_types 25000 1 50 3000 0.125367928374475 0.0142596988870551
